2018-09-02 00:00:32,b'$280 &amp; up -- Newark to Orlando (Roundtrip) https://t.co/K3na8x4agc #ewr #mco #unitedairlines'
2018-09-02 00:00:07,b'#UnitedAirlines Announces New #PragueNewark #Route from June 2019. United https://t.co/bBLHstexKX \xe2\x80\xa6 via @50skyshades https://t.co/aNZSUo9ElW'
2018-09-01 23:52:56,"b""@united I did, was granted a $10 Voucher, the only veg. sandwich ava. @EWRairport is $12.99 +Tax. I'll land in Hous\xe2\x80\xa6 https://t.co/l67Qxb2IUM"""
2018-09-01 23:50:40,b'#LifeList desires... Been in the works for over 10 years. \xf0\x9f\x98\x8dThank God for the opportunity and Thank You\xe2\x80\xa6 https://t.co/cySlFFAQC6'
2018-09-01 23:44:51,b'@united this is how my luggage came off the conveyor belt when I arrived to Memphis. This is unacceptable\xe2\x80\xa6 https://t.co/6lhCQ6W4DK'
2018-09-01 22:32:14,b'Here we go again!! Fingers crossed \xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbc #polaris #unitedairlines #newark #newarkairport #lisbon #lisbonportugal\xe2\x80\xa6 https://t.co/rN0bQ0wkKL'
2018-09-01 22:12:54,b'Unpleasant United Airlines Flight Attendant\n#phillipsloop\n#unitedairlines\n#flightattendant https://t.co/QkTOcx1aN3\xe2\x80\xa6 https://t.co/Ih0gjWGm7R'
2018-09-01 22:07:34,"b'A 21 year old woman named #MikaelaDixon, is claiming that #unitedairlines paid her $75 in hush money to keep quiet,\xe2\x80\xa6 https://t.co/vmmZF1rqbK'"
2018-09-01 22:02:11,b'Did a walking tour &amp; saw this incredible wall in NYC!!! \xe2\x9d\xa4\xef\xb8\x8f broadway shows #broadway #broadwayshows  #nyc\xe2\x80\xa6 https://t.co/loaumHxrOG'
2018-09-01 21:56:55,b'@united! Tomorrow my parents are flying 1st class for the 1st time to celebrate my Dad\xe2\x80\x99s 69th Birthday!! Can you he\xe2\x80\xa6 https://t.co/la36kg3WSw'
